内容,时间
,2023-02-24 16:34
吧友们，我想问问郑大的考研难度怎么样，复试会不会歧视第一学历二三本的考生？我来自云南一所很普通的高校，24考研想冲一波郑大，过来人能给些建议吗？万分感谢,2023-02-15 08:41
大部分学院不会 本身郑带的生源就是普通一本二本 重本211的谁来郑带啊,2023-02-15 09:30
应该不会吧,2023-02-15 16:19
理论上来说不会,2023-02-15 17:02
学校是一个整体，你应该说明你的专业，毕竟研究生是院内的事，据我在河北老家上重一的朋友说，有的歧视,2023-02-15 18:42
硕士生源本来就是一二本的多吧，好好考没问题,2023-02-24 15:59
不歧视,2023-02-24 16:33
之前也没发现啊,2023-02-23 13:08
别问,2023-02-23 14:52
这是提都不能提的话题,2023-02-23 18:58
疫情放开了呗😋都来了,2023-02-23 23:31
好多黑人和印度人,2023-02-23 23:57
问就是提升国际化排名,2023-02-24 11:40
又能升Qs咯,2023-02-24 15:55
有机会吗,2023-02-24 09:47
你也不说专业,2023-02-24 11:42
招多少人？,2023-02-24 15:04
回家歇歇吧,2023-02-24 15:26
你要说招多少人啊,2023-02-24 15:51
我是23考研，想找一个机械专业的学长学姐,2023-02-21 18:46
你有啥问题想问的。,2023-02-21 19:27
,2023-02-24 09:04
,2023-02-24 11:27
,2023-02-24 11:33
这下真郑带了,2023-02-24 13:53
哈人,2023-02-24 13:58
,2023-02-24 14:02
😀😀😀,2023-02-24 14:09
,2023-02-24 14:56
挂我是吧,2023-02-24 14:57
,2023-02-24 15:08
我要让所有人,2023-02-24 15:11
,2023-02-24 15:13
包浆了,2023-02-24 15:13
,2023-02-24 15:18
哈人,2023-02-24 15:35
,2023-02-24 15:41
,2023-02-24 15:37
😱😱,2023-02-15 19:35
队友呢，救一下啊。,2023-02-15 19:36
什么ad钙大专,2023-02-15 20:05
一个图两个吧一起水是吧,2023-02-15 20:52
老郑大：玩个元神,2023-02-15 21:28
,2023-02-15 22:56
,2023-02-16 23:24
后悔当年没开原神工程,2023-02-24 15:35
输,2023-02-15 10:41
什么傻瓜ai,2023-02-15 11:08
蚌,2023-02-15 11:35
玩原神玩的,2023-02-15 13:31
玩原神玩的,2023-02-23 18:33
玩原神玩的,2023-02-23 18:54
WIN,2023-02-24 01:32
3,2023-02-24 09:46
玩,2023-02-24 11:03
大脑怠机了,2023-02-24 15:33
有医学院已经实习过的学长学姐吗？实习分配是按照前三年的综测和志愿吗？,2023-02-24 15:03
插个眼,2023-02-24 15:20
,2023-02-24 15:11
,2023-01-15 20:34
最终幻想是吧,2023-01-15 21:10
那鼠鼠考不上了捏,2023-01-15 21:35
,2023-01-15 23:20
那学长现在也不至于这么惨,2023-01-15 23:31
考不上了,2023-01-21 16:37
,2023-02-10 12:12
如果泥郑努力一点我就能考老家的定向选调了,2023-02-12 13:53
,2023-02-24 15:04
想问问鼠鼠们有没有想出去住的，本人男喜欢安静的环境，想在莲花街租个房子，找合租室友,2023-02-24 15:04
希望2023.2.14上午十点多在郑州大学北门偷这束碎冰蓝的学弟/学妹，情人节快乐，希望你是真的快乐，而不是用别人的花麻痹自己，或者用偷来的花送给喜欢的人，今天你偷花，明天就轮到你老婆/老公偷人。想必你真的很孤单吧，我只觉得你可怜。,2023-02-14 14:17
真的难绷，花都偷,2023-02-14 14:36
,2023-02-14 14:47
今日首蚌,2023-02-14 14:48
哈人,2023-02-14 14:52
感觉有点可怜,2023-02-14 14:53
郑大✌也偷？,2023-02-14 15:12
不是我,2023-02-14 15:14
,2023-02-14 15:15
nm真的逆天,2023-02-14 15:36
我女朋友非要这朵我就拿走了,2023-02-14 15:59
蚌埠住了,2023-02-14 16:07
蚌埠住了,2023-02-14 16:08
逆天,2023-02-14 16:30
郑带的素质！,2023-02-14 16:54
,2023-02-14 16:54
,2023-02-14 16:55
找找监控,2023-02-14 17:22
哈人,2023-02-14 17:27
花都偷是真的离谱 一眼惯偷,2023-02-14 17:51
可能拿错了,2023-02-14 17:55
估计是谁外卖送的花，让别人领，领错了,2023-02-14 19:36
哈哈哈,2023-02-14 21:47
难绷,2023-02-14 21:51
好似,2023-02-14 22:13
这就是我们郑带🐭的素质,2023-02-14 22:32
,2023-02-14 22:52
不好意思,2023-02-14 23:26
额,2023-02-15 00:19
哦豁,2023-02-15 09:27
郑州大学现在解封了吗？ 毕业生能进吗？,2023-02-23 13:42
可以进，走南门就行,2023-02-23 18:06
可以,2023-02-24 14:52
需要什么，谢谢,2023-02-24 14:12
蹲,2023-02-24 14:16
什么都不需要,2023-02-24 14:51
体检业务推广，成交一人提50元，校内即可完成，上不封顶13838512244,2023-02-24 14:38
在职MPA求复试资料,2023-02-24 14:11
😡😡😡😡😡😡😾😾😾😾😾😾,2023-02-24 14:06
问一下郑州大学学费可以毕业后再交吗,2023-02-18 09:25
拖到发毕业证,2023-02-19 07:54
快毕业会给一次缴清的机会，基本是该拍毕业照的时候。,2023-02-24 14:04
,2023-02-11 01:46
,2023-02-11 02:27
直接问吧。看看能不能回答你,2023-02-22 12:27
,2023-02-22 13:03
问捏,2023-02-24 13:51
最好是环境类的，孩子想了解点东西,2023-02-24 13:48
蹲一个计算机与人工智能学院软件工程专业的学长学姐,2023-02-24 13:31
,2023-02-23 17:25
绿牌414,2023-02-23 20:21
不要,2023-02-23 23:54
导师得给你磕两个,2023-02-24 00:42
你想要导师研究点什么🤔,2023-02-24 10:05
⑥,2023-02-24 10:05
抱歉，郑大录取分600+捏，你这分太少了,2023-02-24 12:07
不敢要啊 要了你就得进去蹲几年,2023-02-24 13:03
,2023-02-24 12:46
感觉还是不算多。继续进步吧,2023-02-24 12:47
郑州哪里烫头发比较好捏,2023-02-24 11:01
对不起，做不到,2023-02-24 11:59
不知道,2023-02-24 12:36
或许你别烫?看专业吧，我们专业有同学被辅导员说了，让赶紧恢复正常头发,2023-02-24 12:40
想问一下有计算机专业的在读研究生学长学姐吗？郑大研究生招生情况怎么样啊，这两年有可能继续扩招吗😭,2023-02-24 12:36
校内有没有美食公众号呀,2023-02-24 11:55
1,2023-02-24 11:56
主校区的UU们有在寝室用过小功率的电煮锅的吗？我看郑带的限电是只限电热功率,2023-02-21 21:50
北区我知道能用，主区不知道行不行,2023-02-24 11:28
有不用的电动车吗，有的联系我，咨询一下咱学校外来车可以开进去吗，学校有停车场吗，或者附近有停车的地方吗,2023-02-24 11:35
美女镇楼,2023-02-23 15:46
,2023-02-23 16:14
让,2023-02-23 16:24
💋💋,2023-02-23 16:32
3,2023-02-24 09:47
3,2023-02-24 10:05
进进我的,2023-02-24 11:29
上岸老学姐出售987环境工程学2003年-2022年考研初试、复试真题及答案，有意者请联系,2022-04-21 13:53
复试真题,2023-02-24 11:07
求一位应化考研上岸的学长、学姐，求一些资料。求求了，救救孩子吧！！！有偿！！！,2023-02-24 09:24
8u们，现在校车还开吗？还是按官网上的时刻表，学生在东门上车？,2023-02-13 22:38
淡季贴吧？,2023-02-19 22:05
23考研能进复试，求推荐能源动力专业导师。,2023-02-22 20:21
兄弟啥专业的，专硕学硕,2023-02-24 03:07
专硕,2023-02-24 10:15
能源动力专业,2023-02-24 10:16
有无导师推荐啊？,2023-02-24 10:17
你们导师发劳务费吗？有什么标准文件吗？,2023-02-23 12:32
分老师的，大部分都只有低保,2023-02-23 12:37
不知道,2023-02-23 15:10
俺只有低保，因为不干活,2023-02-24 10:09
想找一个温柔一点，压力小的导师,2023-02-24 10:06
外校的可以进学校吗,2023-02-23 19:22
2,2023-02-23 20:43
我也等一个回复,2023-02-23 21:00
要么趁保安不看码时偷偷进，要么去校内找个码进去,2023-02-23 21:11
,2023-02-24 09:28
真的很想进去看看，什么时候郑大把工带合并了😭😭 😭,2023-02-19 17:52
欢迎来玩,2023-02-19 19:34
淦，昨天晚上跑工大不让鼠鼠进,2023-02-19 21:42
速来,2023-02-19 23:49
要个扫码的截图给保安看一下不就能进来了,2023-02-19 23:57
得扫码,2023-02-19 23:57
3,2023-02-20 11:29
贵校有没有中医专业啊？,2023-02-20 20:31
工大能进不？有没有洞之类的,2023-02-21 15:22
速速来击剑,2023-02-23 21:46
别急 我们为什么要说“别急”？别急是一种态度，一种张弛有度，一种不急不躁，一种泰然自若。遇到羞辱急于还击，是莽夫，“别急”教我们谦让三分、以理服人；遇到挫折羞愤不已，是愚夫，“别急”教我们另辟蹊径、以智取胜。,2023-02-24 09:08
今天是2月11日，转发此消息到朋友圈，家里的孩子在高考时一定考上郑州大学,2023-02-11 09:24
好日子，然而我还在划水,2023-02-11 09:52
已转，希望考上郑带,2023-02-11 10:07
那我不转了，不能拉人下水😓,2023-02-11 10:07
,2023-02-11 10:07
害人贴 举报了,2023-02-11 10:18
多狠毒的诅咒,2023-02-11 10:31
你太baby辣,2023-02-11 10:34
已转，希望考上郑带,2023-02-11 11:40
什么带恶人,2023-02-11 11:56
误人子弟,2023-02-11 12:29
太恶毒了,2023-02-14 17:48
打咩哟 我要上河带,2023-02-21 11:08
已转，希望考上郑专,2023-02-24 08:55
蹲一手郑大新传学硕考研上岸的学长学姐，想咨询一下复习规划,2023-02-23 22:37
网上鼠鼠也没有找到相关流程,2023-02-23 22:33
找辅导员要,2023-02-24 08:14
无语了，京东也不行啊,2022-05-08 18:34
快递不是不让进了吗，jd自营打电话进不来,2022-05-08 18:37
这么便宜怎么做到的,2022-05-08 20:06
拿不了,2022-05-08 21:35
都私信怎么买的，自己看图吧,2022-05-08 23:00
dd,2022-05-09 15:16
滴滴,2022-05-09 22:51
d,2022-05-11 18:58
dd,2022-05-11 20:33
没错,2022-05-11 21:05
didi,2022-05-11 22:58
厉害,2022-05-11 23:37
不简单,2022-05-12 00:17
需要跑腿滴我,2022-05-12 00:37
厉害,2022-05-12 10:52
厉害,2022-05-12 11:19
厉害,2022-05-12 15:12
滴滴,2022-05-12 15:12
架子,2022-05-12 16:29
好的,2022-05-12 16:53
厉害,2022-05-12 17:23
嘻哈,2022-05-12 17:40
ciji,2022-05-12 23:52
说的对,2022-05-12 23:52
我哦昂,2022-05-13 00:09
唐诗,2022-05-13 10:11
厉害,2022-05-13 12:57
厉害,2022-05-13 15:21
dd,2022-05-13 21:28
就是厉害,2022-05-13 23:19
你是,2022-05-14 00:18
daw,2022-05-14 10:34
,2022-05-14 13:26
dd,2022-05-14 14:08
厉害的很,2022-05-14 16:31
d,2022-05-14 18:24
没错,2022-05-14 19:35
dd,2022-05-14 21:16
不是,2022-05-15 00:29
d,2022-05-15 02:02
d,2022-05-15 10:32
d,2022-05-15 11:20
d,2022-05-15 12:10
dd,2022-05-15 12:10
dd,2022-05-15 13:16
d,2022-05-15 13:52
d,2022-05-15 16:08
刺激,2022-05-15 16:27
dd,2022-05-15 22:06
dd,2022-05-15 22:07
厉害,2022-05-15 22:38
d,2022-05-16 11:43
刺激,2022-05-16 13:14
dd,2022-05-16 13:36
d,2022-05-16 15:03
刺激,2022-05-16 16:45
dd,2022-05-16 18:09
d,2022-05-16 20:01
dd,2022-05-16 22:02
dd,2022-05-16 22:25
刺激,2022-05-16 23:40
d,2022-05-17 00:55
dd,2022-05-17 10:26
dd,2022-05-17 11:12
dd,2022-05-17 12:24
dd,2022-05-17 13:26
ciji,2022-05-17 14:39
很好,2022-05-17 17:47
d,2022-05-17 18:05
dd,2022-05-17 18:37
d,2022-05-17 19:44
dd,2022-05-17 20:03
d,2022-05-17 21:08
dd,2022-05-17 23:53
d,2022-05-18 00:19
meocuo,2022-05-18 11:05
dd,2022-05-18 11:41
d,2022-05-18 12:52
fd,2022-05-18 15:13
厉害,2022-05-18 17:53
刺激,2022-05-18 20:13
d,2022-05-18 22:02
d,2022-05-18 22:34
d,2022-05-18 23:04
dd,2022-05-19 00:29
弟弟,2022-05-19 00:29
我快递十几天了都,2022-05-19 00:30
dd,2022-05-19 09:58
d,2022-05-19 10:58
d,2022-05-19 13:02
dd,2022-05-19 14:14
e,2022-05-19 14:30
dd,2022-05-19 15:59
